DatabaseClass text,Name text,HullNumber text,DateInService numeric,DateOutService numeric
"Famous Cutter WMEC","USCGC Mohawk","WMEC-913","1991.34","2999.99"
"Famous Cutter WMEC","USCGC Northland","WMEC-904","1984.96","2999.99"
"Famous Cutter WMEC","USCGC Seneca","WMEC-906","1987.35","2999.99"
"Famous Cutter WMEC","USCGC Spencer","WMEC-905","1986.49","2999.99"
"Famous Cutter WMEC","USCGC Tahoma","WMEC-908","1988.26","2999.99"
"Famous Cutter WMEC","USCGC Tampa","WMEC-902","1984.2","2999.99"
"Famous Cutter WMEC","USCGC Thetis","WMEC-910","1989.49","2999.99"
"FF Class Mariscal Sucre (2001)","Almirante Brion","F-22","2001.0007","2999.9973"
"FF Class Mariscal Sucre (2001)","Mariscal Sucre","F-21","2001.0007","2999.9973"
"FF Class Mariscal Sucre (2005)","Almirante Garcia","F-26","2001.0007","2999.9973"
"FF Class Mariscal Sucre (2005)","General Salom","F-25","2001.0007","2999.9973"
"FF Class Mariscal Sucre (2005)","General Soublette","F-24","2001.0007","2999.9973"
"FF Class Mariscal Sucre (2005)","General Urdaneta","F-23","2001.0007","2999.9973"
"FF Class Mariscal Sucre","Almirante Brion","F-22","1981.1786","2001.0007"
"FF Class Mariscal Sucre","Almirante Garcia","F-26","1982.5756","2001.0007"
"FF Class Mariscal Sucre","General Salom","F-25","1982.2526","2001.0007"
"FF Class Mariscal Sucre","General Soublette","F-24","1981.9233","2001.0007"
"FF Class Mariscal Sucre","General Urdaneta","F-23","1981.6003","2001.0007"
"FF Class Mariscal Sucre","Mariscal Sucre","F-21","1980.5318","2001.0007"
"FL Class Almirante Padilla (2011)","Almirante Padilla","FL-51","2011.0007","2999.9973"
"FL Class Almirante Padilla (2011)","Antioquia","FL-53","2011.0007","2999.9973"
"FL Class Almirante Padilla (2011)","Caldas","FL-52","2011.0007","2999.9973"
"FL Class Almirante Padilla (2011)","Independiente","FL-54","2011.0007","2999.9973"
"FL Class Almirante Padilla","Almirante Padilla","FL-51","1983.8303","2011.0007"
"FL Class Almirante Padilla","Antioquia","FL-53","1984.3265","2011.0007"
"FL Class Almirante Padilla","Caldas","FL-52","1984.1184","2011.0007"
"FL Class Almirante Padilla","Independiente","FL-54","1984.5592","2011.0007"
"Guardian YP","USA YP Guardian","","1900.1","2999.9973"
"Gun Test Boat","ZZT TEST Gun Boat","","1900.1","2999.9973"
"Hai Lung SS","Hai Hu","SS-794","1988.269","2999.9973"
"Hai Lung SS","Hai Lung","SS-793","1987.77","2999.9973"
"Hai Shih SS","Hai Pao","SS-792","1973.7947","2999.9973"
"Hai Shih SS","Hai Shih","SS-791","1973.2772","2999.9973"
"Hamilton WHEC","USCGC Boutwell","WHEC-719","1968.45","2999.99"
"Hamilton WHEC","USCGC Chase","WHEC-718","1968.16","2999.99"
"Hamilton WHEC","USCGC Dallas","WHEC-716","1967.75","2999.99"
"Hamilton WHEC","USCGC Gallatian","WHEC-721","1968.97","2999.99"
"Hamilton WHEC","USCGC hamilton","WHEC-715","1967.13","2999.99"
"Hamilton WHEC","USCGC Jarvis","WHEC-725","1971.99","2999.99"
"Hamilton WHEC","USCGC Mellon","WHEC-717","1967.97","2999.99"
"Hamilton WHEC","USCGC Midget","WHEC-726","1972.21","2999.99"
"Hamilton WHEC","USCGC Morgenthau","WHEC-722","1969.12","2999.99"
"Hamilton WHEC","USCGC Munro","WHEC-724","1971.69","2999.99"
"Hamilton WHEC","USCGC Rush","WHEC-723","1969.5","2999.99"
"Hamilton WHEC","USCGC Sherman","WHEC-720","1968.64","2999.99"
"Harbour Security Craft YP","USA YP Harbour Security Craft","","1900.1","2999.9973"
"Harpers Ferry LSD-CV","USS Carter Hall","LSD-50","1995.75","2999.99"
"Harpers Ferry LSD-CV","USS Harpers Ferry","LSD-49","1995.02","2999.99"
"Harpers Ferry LSD-CV","USS Oak Hill","LSD-51","1996.43","2999.99"
"Harpers Ferry LSD-CV","USS Pearl Harbor","LSD-52","1998.41","2999.99"
"Harushio","JDS Arashio","SS-586","1993.206","2999.9973"
